"line","order","stop_street","next_cross_street","landmark","shelter","sign","flag"
"Yellow Line Southwest",734,"HWY 155","Sunnybrook","East Texas Child Advocacy",,TRUE,
"Yellow Line Southwest",735,"Sunnybrook","Camilla","Pedestrian Crosswalk",,,TRUE
"Yellow Line Southeast",801,"Old Troup","Fleishel","Vacant Lot",,TRUE,
"Yellow Line Southeast",802,"Troup","Green Acres","Green Acres Shopping Center",,TRUE,
"Yellow Line Southeast",803,"Troup","Golden","Bank of America",,TRUE,
"Yellow Line Southeast",804,"Troup","Lindburgh","Across from Texas Workforce",,TRUE,
"Yellow Line Southeast",805,"Troup","Hillside","Highland Center",,TRUE,
"Yellow Line Southeast",806,"Troup","Kensington","Etcil",TRUE,TRUE,
"Yellow Line Southeast",807,"Troup","Shiloh","Chase Bank",TRUE,TRUE,
"Yellow Line Southeast",808,"Shiloh","Thistle","Chelsea Creek Apartments",,TRUE,
"Yellow Line Southeast",809,"Shiloh","Kirkcaldey","Hidden Springs Apartments",,TRUE,
"Yellow Line Southeast",810,"Shiloh","Edinburgh","Shiloh Road Mobile Park",,TRUE,
"Yellow Line Southeast",811,"Shiloh","Edinburgh","Hidden Springs Apartments",,,
"Yellow Line Southeast",812,"Paluxy","Shiloh","The Ridge Apartments",,TRUE,
"Yellow Line Southeast",813,"Paluxy","Sequoia","Meadowbrook Apartments",TRUE,TRUE,
"Yellow Line Southeast",814,"Linburgh","Troup","ETMC Sleep Center",,TRUE,
"Yellow Line Southeast",815,"Rickety","Southpark","Paluxy Square",,TRUE,
"Yellow Line Southeast",816,"Troup","Linberg","Super One Foods",TRUE,TRUE,
"Yellow Line Southeast",817,"Troup","Golden","Texico",,TRUE,
"Yellow Line Southeast",818,"Old Troup","Fleishel","Firestation #7",,TRUE,
